task,window,seed,model,family,n_train,cost_bps,mean_active,sharpe,maxdd,hit
T-book,2,0,VQC,quantum,400,5.0,0.0010109817827856067,2.6849116527485384,-0.03629261209801156,0.5079365079365079
T-book,2,1,LIN,classical,400,0.0,0.003824150644526547,7.965802168066819,-0.05686629656373349,0.6825396825396826
T-book,2,1,LIN,classical,400,5.0,0.00361780143817734,7.532361357025536,-0.05894962989706684,0.6666666666666666
T-book,2,1,RBF,classical,400,0.0,0.001712086660598645,4.59692316763192,-0.06852786014468827,0.5873015873015873
T-book,2,1,RBF,classical,400,5.0,0.0014065311050430892,3.770850525771295,-0.07277786014468825,0.5873015873015873
T-book,2,1,QK,quantum,400,0.0,5.072681483772549e-05,0.13718621776352427,-0.05759212471090309,0.4444444444444444
T-book,2,1,QK,quantum,400,5.0,-0.00027202450791359724,-0.7358539280807541,-0.06325879137756975,0.3968253968253968
T-book,2,1,VQC,quantum,400,0.0,0.0018951395225833864,4.986933788290801,-0.05189705790027019,0.6190476190476191
T-book,2,1,VQC,quantum,400,5.0,0.0016292665067103708,4.278016504293762,-0.0582934558053149,0.5714285714285714
T-book,2,2,LIN,classical,400,0.0,0.003783016943913583,7.86457044838297,-0.039731131740841086,0.6507936507936508
T-book,2,2,LIN,classical,400,5.0,0.0035435989544955943,7.349356783488037,-0.04123113174084106,0.6507936507936508
T-book,2,2,RBF,classical,400,0.0,0.0029034064120466944,7.163037671636346,-0.04269445509056455,0.6507936507936508
T-book,2,2,RBF,classical,400,5.0,0.0025806550892953704,6.346598666767991,-0.04719445509056441,0.6507936507936508
T-book,2,2,QK,quantum,400,0.0,0.00030662843278254464,0.8399033911484681,-0.06696618517058907,0.5555555555555556
T-book,2,2,QK,quantum,400,5.0,-9.509133355021594e-06,-0.02608501974655526,-0.06921618517058907,0.5555555555555556
T-book,2,2,VQC,quantum,400,0.0,0.004801778179635614,11.710598363395626,-0.018548760948674192,0.746031746031746
T-book,2,2,VQC,quantum,400,5.0,0.004559714687572122,11.10609253279871,-0.018965427615340855,0.746031746031746
T-book,3,0,LIN,classical,400,0.0,0.0018293905113317675,4.7900159362628605,-0.04978966576374858,0.6349206349206349
T-book,3,0,LIN,classical,400,5.0,0.0016984381303793866,4.4609320975456175,-0.05078966576374859,0.6349206349206349
T-book,3,0,RBF,classical,400,0.0,0.0028665013940169393,6.933208058706389,-0.040446208285402685,0.6507936507936508
T-book,3,0,RBF,classical,400,5.0,0.0026178241453396916,6.324785107257458,-0.04211287495206931,0.6349206349206349
T-book,3,0,QK,quantum,400,0.0,0.0006026509208958878,1.6359869404997045,-0.058718206974296874,0.5238095238095238
T-book,3,0,QK,quantum,400,5.0,0.00033545515370012047,0.9109792123816187,-0.06088487364096353,0.5079365079365079
T-book,3,0,VQC,quantum,400,0.0,0.003783788382409177,8.996734491306652,-0.03090529586503904,0.6666666666666666
T-book,3,0,VQC,quantum,400,5.0,0.0035483386469594407,8.437635455631536,-0.03290529586503906,0.6666666666666666
T-book,3,1,LIN,classical,400,0.0,0.005385687006223627,13.316050224970683,-0.022195259495468384,0.7619047619047619
T-book,3,1,LIN,classical,400,5.0,0.005143623514160137,12.702197162686716,-0.024695259495468386,0.7619047619047619
T-book,3,1,RBF,classical,400,0.0,0.004481828559232842,10.865328631222782,-0.028832333480197966,0.6666666666666666
T-book,3,1,RBF,classical,400,5.0,0.004304579881984166,10.403002463390704,-0.03074900014686463,0.6666666666666666
T-book,3,1,QK,quantum,400,0.0,0.001859102819206289,5.102549015114487,-0.06687828322423349,0.6031746031746031
T-book,3,1,QK,quantum,400,5.0,0.001621007581111051,4.420900718941665,-0.0724616165575668,0.5714285714285714
T-book,3,1,VQC,quantum,400,0.0,0.005605630844160787,12.645906388912007,-0.02443734278082489,0.7619047619047619
T-book,3,1,VQC,quantum,400,5.0,0.005452191690721633,12.28081402806724,-0.026187342780824865,0.746031746031746
T-book,3,2,LIN,classical,400,0.0,0.0038711153576493455,10.565816896023899,-0.03024782981519407,0.7301587301587301
T-book,3,2,LIN,classical,400,5.0,0.003634342870876858,9.928680497095922,-0.030997829815194083,0.6825396825396826
T-book,3,2,RBF,classical,400,0.0,0.0024573713572212624,6.478136093060211,-0.0312828831532842,0.6825396825396826
T-book,3,2,RBF,classical,400,5.0,0.002155784055633961,5.681397078067758,-0.03244954981995091,0.6666666666666666
T-book,3,2,QK,quantum,400,0.0,-0.0006342366354505886,-1.6439038381244442,-0.09135721263990285,0.49206349206349204
T-book,3,2,QK,quantum,400,5.0,-0.0008895276407415937,-2.3040664428750337,-0.09994054597323619,0.47619047619047616
T-book,3,2,VQC,quantum,400,0.0,2.638024297606095e-05,0.05548745028449633,-0.09263645078362095,0.6190476190476191
T-book,3,2,VQC,quantum,400,5.0,-0.0002170060004101826,-0.45736530339865994,-0.09739990807261417,0.6190476190476191
T-book,4,0,LIN,classical,400,0.0,0.004016256052975007,10.739876510404326,-0.01675235980821313,0.7936507936507936
T-book,4,0,LIN,classical,400,5.0,0.0037239280106469656,9.921923558661327,-0.01850235980821313,0.7619047619047619
