task,window,seed,model,family,n_train,reference,auc,brier,acc,auc_calm,auc_stress,wall_s
T-class,1,0,RBF,classical,400,False,0.7230204937941328,0.2093124275807188,0.6997354497354498,0.7169750056633694,0.5236100533130236,0.02371978759765625
T-class,1,0,QK,quantum,400,False,0.7373119407503361,0.20505693173653236,0.708994708994709,0.7254700596541568,0.49885757806549885,0.08030152320861816
T-class,1,0,VQC,quantum,400,False,0.7205916518237434,0.21802954953142545,0.6917989417989417,0.7045231443026504,0.5651180502665651,0.8505570888519287
T-class,1,0,LIN,classical,full,True,0.7402335912364566,0.20322451590848203,0.7592592592592593,0.7446349014573737,0.5902513328255903,0.007409811019897461
T-class,1,0,RBF,classical,full,True,0.7207465345001162,0.2040858661783461,0.7420634920634921,0.7181303330061165,0.5283701447067783,0.046889543533325195
T-class,1,1,LIN,classical,150,False,0.7511387396774215,0.20351361183555688,0.7341269841269841,0.7560673563391982,0.583015993907083,0.0059015750885009766
T-class,1,1,RBF,classical,150,False,0.7433206845814295,0.20265425333765577,0.7076719576719577,0.7511591029222986,0.49352627570449353,0.005907297134399414
T-class,1,1,QK,quantum,150,False,0.749751835711721,0.20704079807128103,0.7037037037037037,0.7567620629766669,0.4716298552932216,0.024121761322021484
T-class,1,1,VQC,quantum,150,False,0.7787008159500997,0.19433279324104846,0.7341269841269841,0.7800951446046968,0.604912414318355,1.0293855667114258
T-class,1,1,LIN,classical,400,False,0.7311870349119632,0.21175241810279755,0.7275132275132276,0.7433361020916711,0.5468392993145468,0.00372314453125
T-class,1,1,RBF,classical,400,False,0.7343832501425624,0.20114024621169793,0.7261904761904762,0.747247602506985,0.5186595582635186,0.014937162399291992
T-class,1,1,QK,quantum,400,False,0.7378610702392937,0.2061422530466993,0.6984126984126984,0.7468398399154269,0.5087585681645088,0.08950471878051758
T-class,1,1,VQC,quantum,400,False,0.7531592545919193,0.19817265905126744,0.7513227513227513,0.7638752548516197,0.5824447829398324,0.886385440826416
T-class,1,1,LIN,classical,full,True,0.7402335912364566,0.20322451590848203,0.7592592592592593,0.7446349014573737,0.5902513328255903,0.007705211639404297
T-class,1,1,RBF,classical,full,True,0.7401561498982703,0.20092645422876088,0.7208994708994709,0.7419617911349391,0.5165651180502666,0.057476043701171875
T-class,1,2,LIN,classical,150,False,0.7460557718437375,0.2039999886622054,0.7328042328042328,0.7374915049460092,0.5997715156130998,0.003278970718383789
T-class,1,2,RBF,classical,150,False,0.7395682997402194,0.2047522871808694,0.7328042328042328,0.7408895265423242,0.5028560548362528,0.0059201717376708984
T-class,1,2,QK,quantum,150,False,0.7461754539118437,0.226439864368596,0.705026455026455,0.7418862795439098,0.4388804265041889,0.023621320724487305
T-class,1,2,VQC,quantum,150,False,0.7696824201122195,0.19135104103589554,0.7407407407407407,0.7605678471645396,0.6260472201066261,0.8512997627258301
T-class,1,2,LIN,classical,400,False,0.7499630393613201,0.20026020795417693,0.753968253968254,0.7503737823755947,0.6024371667936024,0.003952980041503906
T-class,1,2,RBF,classical,400,False,0.7513992241785937,0.19610815039459709,0.7248677248677249,0.7511742052405044,0.5312261995430312,0.028994083404541016
T-class,1,2,QK,quantum,400,False,0.7684433587012383,0.1968166985447594,0.7076719576719577,0.7546401872687457,0.5455064737242955,0.0820760726928711
T-class,1,2,VQC,quantum,400,False,0.7682180748083327,0.19095707920014604,0.75,0.7662161141735256,0.6041507996953542,0.861264705657959
T-class,1,2,LIN,classical,full,True,0.7402335912364566,0.20322451590848203,0.7592592592592593,0.7446349014573737,0.5902513328255903,0.007506132125854492
T-class,1,2,RBF,classical,full,True,0.7383045979034517,0.2019838221516085,0.7248677248677249,0.7475043419164843,0.5163747143945164,0.10641360282897949
T-class,2,0,LIN,classical,150,False,0.7577351485148515,0.19907274769229324,0.6917989417989417,0.7823639385126713,0.682937181663837,0.02485036849975586
T-class,2,0,RBF,classical,150,False,0.7401447175967597,0.20627779095624052,0.6759259259259259,0.7664935604486913,0.639926428975665,0.010479211807250977
T-class,2,0,QK,quantum,150,False,0.7063772783528353,0.21857245899199657,0.656084656084656,0.7142293311175738,0.6136813808715337,0.02399754524230957
T-class,2,0,VQC,quantum,150,False,0.7302261476147615,0.20970659922686455,0.6759259259259259,0.7289364353967593,0.6868043765327297,0.863194465637207
T-class,2,0,LIN,classical,400,False,0.7543949707470747,0.1998301083147678,0.6944444444444444,0.7743041130037391,0.6826542161856253,0.0040283203125
T-class,2,0,RBF,classical,400,False,0.7440122918541854,0.20511927595136806,0.6838624338624338,0.7610095554632323,0.6588615355593285,0.01984405517578125
T-class,2,0,QK,quantum,400,False,0.7261230029252925,0.21156093721724914,0.6785714285714286,0.7517449106771914,0.616204489718921,0.07799625396728516
T-class,2,0,VQC,quantum,400,False,0.7483896827182717,0.20240223948655384,0.6931216931216931,0.7546738678853344,0.6950103754008679,0.8658885955810547
T-class,2,0,LIN,classical,full,True,0.7541207245724573,0.19977765498603,0.6851851851851852,0.7792895720814291,0.6745425391435579,0.007894277572631836
T-class,2,0,RBF,classical,full,True,0.7492335171017102,0.20299766184822085,0.6891534391534392,0.7583298712089739,0.67491982644784,0.061081886291503906
T-class,2,1,LIN,classical,150,False,0.7011349572457245,0.2194443242513772,0.6494708994708994,0.7528666389696718,0.5618751179022826,0.017797231674194336
