task,window,seed,model,family,n_train,reference,auc,brier,acc,auc_calm,auc_stress,wall_s
T-class,6,1,VQC,quantum,150,False,0.6324938021185486,0.24671382370750006,0.5727513227513228,0.552000777945252,0.6758273952407055,0.86305832862854
T-class,6,1,LIN,classical,400,False,0.709678555330178,0.2219943595562993,0.656084656084656,0.6203140953955365,0.7570453815185135,0.003989696502685547
T-class,6,1,RBF,classical,400,False,0.7009029186387198,0.22490877176809304,0.6441798941798942,0.6167160986045608,0.7449675846296331,0.014354467391967773
T-class,6,1,QK,quantum,400,False,0.6283947487040793,0.24659965612601106,0.5833333333333334,0.5568629357708953,0.6656775095923035,0.07840800285339355
T-class,6,1,VQC,quantum,400,False,0.7050231011945007,0.22508479697116301,0.6428571428571429,0.625224874799436,0.7494282420095639,0.8830230236053467
T-class,6,1,LIN,classical,full,True,0.7059668695064233,0.22059125966460763,0.6693121693121693,0.6087907813487625,0.7551741735498139,0.00892329216003418
T-class,6,1,RBF,classical,full,True,0.7096644692359704,0.21830780241681522,0.6759259259259259,0.6068459182185053,0.7638308730413745,0.06771016120910645
T-class,6,2,LIN,classical,150,False,0.705840094658553,0.22172750154306137,0.6746031746031746,0.609276997131327,0.754626041922619,0.006738901138305664
T-class,6,2,RBF,classical,150,False,0.6986702727067838,0.2236929906183915,0.656084656084656,0.6187095833130745,0.7394106639953124,0.007198810577392578
T-class,6,2,QK,quantum,150,False,0.6436781609195403,0.2428224690772925,0.5833333333333334,0.5935236057762434,0.6711966280454381,0.02428150177001953
T-class,6,2,VQC,quantum,150,False,0.6608772819472617,0.239021723986125,0.6203703703703703,0.6110759955268147,0.6880374997637364,0.8916747570037842
T-class,6,2,LIN,classical,400,False,0.7028115844038765,0.2219135469524948,0.6494708994708994,0.6029075703797345,0.751979889239609,0.0034439563751220703
T-class,6,2,RBF,classical,400,False,0.7053013015551048,0.22125985320536898,0.6640211640211641,0.6169835172849711,0.7519609881490162,0.014627456665039062
T-class,6,2,QK,quantum,400,False,0.6742132916384944,0.23108935974704706,0.6362433862433863,0.6124373997179948,0.7086963917818058,0.07723665237426758
T-class,6,2,VQC,quantum,400,False,0.6826684696867252,0.22939444781619617,0.6494708994708994,0.5905576895026012,0.7312831950403538,0.8544931411743164
T-class,6,2,LIN,classical,full,True,0.7059668695064233,0.22059125966460763,0.6693121693121693,0.6087907813487625,0.7551741735498139,0.009900093078613281
T-class,6,2,RBF,classical,full,True,0.707305048456164,0.21761934507548755,0.667989417989418,0.6136529391744057,0.7564027444383541,0.10662102699279785
T-class,7,0,LIN,classical,150,False,0.750338568440458,0.2032827332168404,0.7116402116402116,0.7793299383543286,0.5789930555555556,0.040743112564086914
T-class,7,0,RBF,classical,150,False,0.7468004396071897,0.20097933989579306,0.7142857142857143,0.7753417314392923,0.5423177083333334,0.01542973518371582
T-class,7,0,QK,quantum,150,False,0.7038536533484596,0.2157401150282919,0.6825396825396826,0.7326829268292685,0.4796006944444444,0.024679183959960938
T-class,7,0,VQC,quantum,150,False,0.7632006239585918,0.20102339829117866,0.7129629629629629,0.7843795229161084,0.6004774305555556,0.9910013675689697
T-class,7,0,LIN,classical,400,False,0.7543588470946929,0.19944404639443133,0.7156084656084656,0.7854945054945056,0.5666232638888888,0.005645751953125
T-class,7,0,RBF,classical,400,False,0.7438260006381395,0.20178488464694663,0.708994708994709,0.7763709461270437,0.5279947916666667,0.022069931030273438
T-class,7,0,QK,quantum,400,False,0.7112418903109157,0.2134852531332401,0.6851851851851852,0.7441704636826589,0.4927300347222222,0.1003255844116211
T-class,7,0,VQC,quantum,400,False,0.7472187754812635,0.2033292549487164,0.6970899470899471,0.7752666845349772,0.5692274305555556,0.9703638553619385
T-class,7,0,LIN,classical,full,True,0.8020065941078456,0.1810511897882795,0.7103174603174603,0.8195014741356205,0.689236111111111,0.008948326110839844
T-class,7,0,RBF,classical,full,True,0.7992696848300067,0.18557183317361903,0.7195767195767195,0.8134226748860895,0.6961805555555557,0.09017014503479004
T-class,7,1,LIN,classical,150,False,0.8056936221505301,0.1789397034199027,0.7235449735449735,0.8155775931385687,0.7293836805555556,0.01235198974609375
T-class,7,1,RBF,classical,150,False,0.8021448576594462,0.18196864085909562,0.7235449735449735,0.8131332082551594,0.6962890625,0.006276607513427734
T-class,7,1,QK,quantum,150,False,0.7580742368915517,0.19988005149560695,0.7076719576719577,0.7732833020637899,0.5950520833333333,0.023224830627441406
T-class,7,1,VQC,quantum,150,False,0.7906760733151346,0.18939088790937098,0.7103174603174603,0.8048994907531493,0.6790364583333333,0.8594279289245605
T-class,7,1,LIN,classical,400,False,0.8110114510582478,0.1773817067928263,0.7182539682539683,0.8249584561779683,0.7211371527777778,0.0036520957946777344
T-class,7,1,RBF,classical,400,False,0.8036232140957917,0.18173112921901524,0.708994708994709,0.8218279281693914,0.6655815972222222,0.016219139099121094
T-class,7,1,QK,quantum,400,False,0.7722054809089942,0.1917999108555474,0.6997354497354498,0.7892790136692576,0.6085069444444444,0.07704615592956543
T-class,7,1,VQC,quantum,400,False,0.7958450030134363,0.18443336802929738,0.7076719576719577,0.8141409809702493,0.6684027777777778,0.8551445007324219
T-class,7,1,LIN,classical,full,True,0.8020065941078456,0.1810511897882795,0.7103174603174603,0.8195014741356205,0.689236111111111,0.009270906448364258
T-class,7,1,RBF,classical,full,True,0.7960718970468323,0.18701119655293666,0.7037037037037037,0.8137121415170195,0.6710069444444446,0.11377143859863281
T-class,7,2,LIN,classical,150,False,0.808955223880597,0.18209164278787882,0.7248677248677249,0.8184615384615386,0.7376302083333334,0.02626633644104004
T-class,7,2,RBF,classical,150,False,0.8056652603963556,0.18780939750522158,0.7208994708994709,0.8161350844277675,0.7154947916666666,0.006201744079589844
T-class,7,2,QK,quantum,150,False,0.7672138121742831,0.20120888413699758,0.7076719576719577,0.7700777271508978,0.6595052083333333,0.02319622039794922
T-class,7,2,VQC,quantum,150,False,0.7913425745382351,0.18572287469002857,0.7037037037037037,0.8043956043956043,0.6729600694444444,0.86446213722229
T-class,7,2,LIN,classical,400,False,0.8037792037437516,0.18020262065275988,0.7208994708994709,0.81964084695792,0.7003038194444444,0.003620147705078125
T-class,7,2,RBF,classical,400,False,0.8022157620448824,0.18335379457959922,0.708994708994709,0.818627713749665,0.6759982638888888,0.01300048828125
T-class,7,2,QK,quantum,400,False,0.7647179778069273,0.19711627130413265,0.7103174603174603,0.7727794157062449,0.6358506944444444,0.07732653617858887
T-class,7,2,VQC,quantum,400,False,0.7940582125004432,0.1837108791817285,0.705026455026455,0.8108281961940498,0.6809895833333334,0.8678514957427979
T-class,7,2,LIN,classical,full,True,0.8020065941078456,0.1810511897882795,0.7103174603174603,0.8195014741356205,0.689236111111111,0.009412527084350586
T-class,7,2,RBF,classical,full,True,0.7932711738221009,0.18518737577733765,0.7235449735449735,0.8085660680782631,0.6844618055555556,0.11540699005126953
