task,window,seed,model,family,n_train,reference,ic_spearman,ic_pearson,rmse,wall_s
T-reg,1,1,VQC,quantum,400,False,0.23520297122438724,0.22640007022939043,0.03354285852442862,0.919973611831665
T-reg,1,1,LIN,classical,full,True,0.16994254264587666,0.2148484910595989,0.03357867195592768,0.0
T-reg,1,1,RBF,classical,full,True,0.15908128777681824,0.2052883497964185,0.03271311513064877,0.0
T-reg,1,2,LIN,classical,150,False,0.17735918907325732,0.2136659637610834,0.03426428861986065,0.0007913112640380859
T-reg,1,2,RBF,classical,150,False,0.30151284323294786,0.31376690305879157,0.03154185096111553,0.002227306365966797
T-reg,1,2,QK,quantum,150,False,0.12705694675477805,0.12613337921424378,0.03385333237047062,0.12635588645935059
T-reg,1,2,VQC,quantum,150,False,0.23852796305576973,0.2515230583504151,0.033296048578984404,0.8717138767242432
T-reg,1,2,LIN,classical,400,False,0.1976947904563886,0.23368850111309114,0.034109003789598386,0.0007510185241699219
T-reg,1,2,RBF,classical,400,False,0.24416010851312278,0.31811472925619727,0.03201976225539439,0.11595892906188965
T-reg,1,2,QK,quantum,400,False,0.234612970001004,0.2768300336431435,0.03244221023226836,0.17438149452209473
T-reg,1,2,VQC,quantum,400,False,0.2302571701576137,0.2548999637276555,0.034448471532280034,0.8529095649719238
T-reg,1,2,LIN,classical,full,True,0.16994254264587666,0.2148484910595989,0.03357867195592768,0.0
T-reg,1,2,RBF,classical,full,True,0.2561736487690279,0.3025574404313561,0.03165344543447858,0.0
T-reg,2,0,LIN,classical,150,False,0.09460971227442222,0.07356225108957172,0.03350654540081192,0.0008213520050048828
T-reg,2,0,RBF,classical,150,False,0.10799102556037828,0.08775540321640364,0.03385168275066212,0.0021512508392333984
T-reg,2,0,QK,quantum,150,False,0.1425925810206738,0.11376120306541619,0.03363241233072456,0.11411619186401367
T-reg,2,0,VQC,quantum,150,False,0.11417112451694761,0.06644024536504912,0.03715279585350132,0.823155403137207
T-reg,2,0,LIN,classical,400,False,0.22512126560872484,0.22038912007967637,0.03281888933617866,0.0007371902465820312
