window,seed,n_train,cka_qk_rbf,cka_qk_lin,cka_vqc_rbf,cka_vqc_lin,kta_rbf,kta_lin,kta_qk,kta_vqc,nn_purity_rbf,nn_purity_lin,nn_purity_qk,nn_purity_vqc
0,0,150,0.7471980546094455,0.3123294905689207,0.8330512225860721,0.6479013938954258,0.13790577814323066,0.19064685271438142,0.06899620518406542,0.16067580643851884,0.29333333333333333,0.21333333333333335,0.31333333333333335,0.22
0,0,400,0.7361056744667832,0.30862634995560434,0.8662794312255796,0.6666831964962195,0.19349365948528877,0.22523698812957269,0.08900738232702611,0.20413888098901847,0.3125,0.2325,0.3375,0.325
0,1,150,0.7291872605023648,0.34086405823472715,0.8479503601985412,0.6831539656149334,0.17864096149661254,0.22150818728241517,0.09569590005492097,0.18875984533345275,0.34,0.24666666666666667,0.28,0.3466666666666667
0,1,400,0.730430639708188,0.293987738736545,0.8601974354743035,0.6825188268164075,0.13626031124787824,0.17663235478588818,0.06057732720326974,0.15918341822843046,0.2625,0.165,0.245,0.3025
3,0,150,0.7397977128145845,0.35956526185346754,0.8318510744143305,0.6410120518464286,0.19261529462356466,0.22142753685526564,0.10848872790925583,0.17018642856244873,0.2866666666666667,0.16666666666666666,0.30666666666666664,0.2866666666666667
3,0,400,0.7270471332979176,0.32183714641086425,0.882579031370451,0.7261334375538229,0.15583097624519107,0.1880008776825558,0.07183344119650246,0.17639510286086385,0.3025,0.21,0.3225,0.305
3,1,150,0.7463842781429533,0.2922917568540044,0.8167581456035565,0.5858504241042591,0.15235814344494916,0.19404743676438269,0.06585492796890428,0.15747642149047672,0.25333333333333335,0.16666666666666666,0.2733333333333333,0.2733333333333333
3,1,400,0.7463545697326711,0.2931539816474891,0.8646567373642373,0.6514785409830351,0.18245518764185117,0.2200542437512357,0.08672280044549237,0.20495058382615586,0.375,0.1975,0.36,0.2825
7,0,150,0.7407131316613826,0.32806286572119614,0.8219479534154251,0.6509718632618919,0.17166286551645632,0.2018300473977546,0.10814254308535287,0.173335673889468,0.29333333333333333,0.24666666666666667,0.2866666666666667,0.38666666666666666
7,0,400,0.734494322806983,0.2923996605525101,0.8769768517987353,0.6900471012248136,0.13751432287148982,0.13426472150318014,0.08536850372260045,0.1572221486167593,0.3425,0.2325,0.3275,0.295
7,1,150,0.7470133138869974,0.31161011933279764,0.8387612303341747,0.6323298534784144,0.19061084092256017,0.21032881739182965,0.11372072281978828,0.20760333682921328,0.37333333333333335,0.19333333333333333,0.35333333333333333,0.3333333333333333
7,1,400,0.7375872236887194,0.30437072958925443,0.8669979691392101,0.6864640739412424,0.19541693254769768,0.23085964076955945,0.09343382500401498,0.21305373889529314,0.2375,0.18,0.2325,0.2375
